name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
YASMIM,Female,Brazil,Brazil,['Football'],['Women'],28,Yes,Yes,1
KURGAT Edwin,Male,Kenya,Kenya,['Athletics'],"[""Men's 5000m""]",28,Yes,No,0
SNYDER Kyle Frederick,Male,United States of America,United States of America,['Wrestling'],"[""Men's Freestyle 97kg""]",29,Yes,No,0
DUPRE Celia,Female,Switzerland,Switzerland,['Rowing'],"[""Women's Quadruple Sculls""]",23,Yes,No,0
LIANG Xiaoya,Female,People's Republic of China,People's Republic of China,['Shooting'],['25m Pistol Women'],17,Yes,No,0
COVARRUBIAS Agustin,Male,Chile,Chile,['Equestrian'],['Jumping Individual'],42,No,No,0
RYU Sunghyun,Male,Republic of Korea,Republic of Korea,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise""]",22,Yes,No,0
MORDI Manuel,Male,Germany,Germany,['Athletics'],"[""Men's 110m Hurdles""]",21,Yes,No,0
GABBRIELLESCHI Giulia,Female,Italy,Italy,['Marathon Swimming'],"[""Women's 10km""]",28,Yes,No,0
IGARASHI Kanoa,Male,Japan,Japan,['Surfing'],['Men'],27,Yes,No,0
EDLUND Oskar,Male,Sweden,Sweden,['Athletics'],"[""Men's 400m Hurdles""]",22,Yes,No,0
IBRAHIM Nebil,Male,Sweden,Sweden,['Boxing'],"[""Men's 57kg""]",24,No,No,0
ORCHARD Ashleigh,Female,Ireland,Ireland,['Rugby Sevens'],['Women'],33,Yes,No,0
SHERMAN Alana,Female,New Zealand,New Zealand,['Rowing'],"[""Women's Pair""]",26,Yes,No,0
BAKER Georgia,Female,Australia,Australia,['Cycling Track'],"[""Women's Madison"", ""Women's Omnium"", ""Women's Team Pursuit""]",30,No,No,0
LO Maodo,Male,Germany,Germany,['Basketball'],['Men'],32,Yes,No,0
SETTERBLOM Gabriel Ask,Male,Norway,Norway,['Handball'],['Men'],27,Yes,No,0
INCHUDE Jessica,Female,Portugal,Portugal,['Athletics'],"[""Women's Shot Put""]",28,Yes,No,0
MOELLER Michala,Female,Denmark,Denmark,['Handball'],['Women'],24,Yes,Yes,1
GRIJSEELS Alina,Female,Germany,Germany,['Handball'],['Women'],28,Yes,No,0
CAN Sena,Female,TÃ¼rkiye,TÃ¼rkiye,['Shooting'],['Skeet Women'],23,Yes,No,0
DAHER de MENEZES Thaisa,Female,Brazil,Brazil,['Volleyball'],['Women'],37,Yes,Yes,1
ELIZALDE Tomas,Male,Argentina,Argentina,['Rugby Sevens'],['Men'],22,Yes,No,0
ESERCITATO Michele,Male,Canada,Canada,['Shooting'],['10m Air Pistol Men'],23,No,No,0
HODGKINS BYRNE Mathilda,Female,Great Britain,Great Britain,['Rowing'],"[""Women's Double Sculls""]",30,Yes,Yes,1
IAPICHINO Larissa,Female,Italy,Italy,['Athletics'],"[""Women's Long Jump""]",22,Yes,No,0
TOBA Andreas,Male,Germany,Germany,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",34,Yes,No,0
MURCHE Kathrin,Female,Germany,Germany,['Shooting'],['Trap Women'],25,Yes,No,0
MAYALA Freddy,Male,Congo,Congo,['Swimming'],"[""Men's 50m Freestyle""]",24,Yes,No,0
MECA Kaltra,Female,Albania,Albania,['Swimming'],"[""Women's 200m Freestyle""]",16,No,No,0
BARRIOS Pablo,Male,Spain,Spain,['Football'],['Men'],21,Yes,Yes,1
CUI Chenxi,Female,People's Republic of China,People's Republic of China,['Skateboarding'],"[""Women's Street""]",15,No,No,0
KUKA Loriana,Female,Kosovo,Kosovo,['Judo'],['Women -78 kg'],27,Yes,No,0
MOON Katie,Female,United States of America,United States of America,['Athletics'],"[""Women's Pole Vault""]",33,Yes,Yes,1
CARRASCO CADENS Emma,Female,Spain,Spain,['Swimming'],"[""Women's 200m Individual Medley"", ""Women's 400m Individual Medley""]",19,Yes,No,0
MUNTADHER ABDULAMEER,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
BYRNES Matthew,Male,Australia,Australia,['Water Polo'],['Men'],23,Yes,No,0
BISSET Catriona,Female,Australia,Australia,['Athletics'],"[""Women's 800m""]",30,Yes,No,0
ZOU Jiaqi,Female,People's Republic of China,People's Republic of China,['Rowing'],"[""Lightweight Women's Double Sculls""]",23,No,No,0
TANAKA Yuuki,Male,Japan,Japan,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",23,Yes,No,0
JOACHIM Alex,Male,St Vincent and the Grenadines,St Vincent and the Grenadines,['Swimming'],"[""Men's 50m Freestyle""]",21,No,No,0
ANGELINA,Female,Brazil,Brazil,['Football'],['Women'],24,No,Yes,1
LOMANI Kolora,Female,Fiji,Fiji,['Rugby Sevens'],['Women'],25,Yes,No,0
YAKOVLEV Mikhail,Male,Israel,Israel,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint""]",24,No,No,0
GERASHCHENKO Iryna,Female,Ukraine,Ukraine,['Athletics'],"[""Women's High Jump""]",29,Yes,Yes,1
FENG Ziqi,Female,People's Republic of China,People's Republic of China,['Wrestling'],"[""Women's Freestyle 50kg""]",25,No,Yes,1
ABDELHADY MOHAMED Omar Khaled,Male,Egypt,Egypt,['Shooting'],['25m Rapid Fire Pistol Men'],26,Yes,No,0
NAVARRO Emma,Female,United States of America,United States of America,['Tennis'],"[""Women's Singles""]",23,Yes,No,0
LEVI Teagan,Female,Australia,Australia,['Rugby Sevens'],['Women'],21,Yes,No,0
KHALZOVA Valentina,Female,Kazakhstan,Kazakhstan,['Boxing'],"[""Women's 75kg""]",28,No,No,0
MAKARAWU Tapiwanashe,Male,Zimbabwe,Zimbabwe,['Athletics'],"[""Men's 200m""]",24,Yes,No,0
TORRES Andres,Male,Ecuador,Ecuador,['Modern Pentathlon'],"[""Men's Individual""]",24,No,No,0
KOVACS Richard,Male,Hungary,Hungary,['Boxing'],"[""Men's 63.5kg""]",27,Yes,No,0
WOLLASTON Ally,Female,New Zealand,New Zealand,['Cycling Track'],"[""Women's Omnium"", ""Women's Team Pursuit""]",23,Yes,Yes,2
ALEXANDER-WALKER Nickeil,Male,Canada,Canada,['Basketball'],['Men'],26,Yes,No,0
MACEDO Rafael,Male,Brazil,Brazil,['Judo'],"['Men -90 kg', 'Mixed Team']",30,Yes,Yes,1
BANZERUK Ivan,Male,Ukraine,Ukraine,['Athletics'],['Marathon Race Walk Relay Mixed'],34,Yes,No,0
ENGLEBERT Charlotte,Female,Belgium,Belgium,['Hockey'],['Women'],23,Yes,No,0
KARCHAOUI Sakina,Female,France,France,['Football'],['Women'],28,Yes,No,0
WEGMAN Martina,Female,Netherlands,Netherlands,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",35,No,No,0
DIAME Fatima,Female,Spain,Spain,['Athletics'],"[""Women's Long Jump""]",28,Yes,No,0
SCHUURS Demi,Female,Netherlands,Netherlands,['Tennis'],"[""Women's Doubles"", 'Mixed Doubles']",31,Yes,No,0
KORKMAZ Salih,Male,TÃ¼rkiye,TÃ¼rkiye,['Athletics'],"[""Men's 20km Race Walk""]",27,Yes,No,0
FAZLIU Laura,Female,Kosovo,Kosovo,['Judo'],['Women -63 kg'],24,Yes,Yes,1
ELIASI Niv,Male,Israel,Israel,['Football'],['Men'],22,Yes,No,0
WILLIAMS Bridget,Female,United States of America,United States of America,['Athletics'],"[""Women's Pole Vault""]",28,Yes,No,0
NUSSER Larissa,Female,Netherlands,Netherlands,['Handball'],['Women'],24,Yes,No,0
SILTAKORPI Sanna,Female,Finland,Finland,['Equestrian'],['Eventing Individual'],37,Yes,No,0
CASES ROCA Salvador,Male,Spain,Spain,['Judo'],"['Men -73 kg', 'Mixed Team']",26,Yes,No,0
KAKITA Maho,Female,Japan,Japan,['Cycling Track'],"[""Women's Madison"", ""Women's Team Pursuit""]",20,No,No,0
MULENGA Chanda,Male,Zambia,Zambia,['Athletics'],"[""Men's 4 x 400m Relay""]",22,No,No,0
XIAO Maria,Female,Spain,Spain,['Table Tennis'],"[""Women's Singles"", 'Mixed Doubles']",30,Yes,No,0
SHEHATA Aya,Female,Egypt,Egypt,['Taekwondo'],['Women -67kg'],21,No,No,0
LARSEN Andreas Sargent,Male,Italy,Italy,['Diving'],"[""Men's 10m Platform""]",25,Yes,No,0
TSJAKADOEA Tornike,Male,Netherlands,Netherlands,['Judo'],"['Men -60 kg', 'Mixed Team']",28,Yes,No,0
GUZEL Ecem,Female,TÃ¼rkiye,TÃ¼rkiye,['Sailing'],"[""Women's Dinghy""]",29,No,No,0
RETO Paula,Female,South Africa,South Africa,['Golf'],"[""Women's Individual Stroke Play""]",34,No,No,0
GUZI Blanka,Female,Hungary,Hungary,['Modern Pentathlon'],"[""Women's Individual""]",25,Yes,No,0
CHERUTI Meiron Amir,Male,Israel,Israel,['Swimming'],"[""Men's 50m Freestyle""]",27,Yes,No,0
HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China","Hong Kong, China",['Swimming'],"[""Women's 100m Freestyle"", ""Women's 200m Freestyle"", ""Women's 4 x 100m Medley Relay""]",27,Yes,Yes,2
KROPPEN Michelle,Female,Germany,Germany,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",28,Yes,Yes,1
HONG Asher,Male,United States of America,United States of America,['Artistic Gymnastics'],"['Men', ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",20,Yes,Yes,1
FUERTES FERNANDEZ Laura,Female,Spain,Spain,['Boxing'],"[""Women's 50kg""]",25,Yes,No,0
VERMEYLEN Jolien,Female,Belgium,Belgium,['Triathlon'],"[""Women's Individual""]",30,Yes,No,0
ERIKSSON Evelina,Female,Sweden,Sweden,['Handball'],['Women'],28,Yes,No,0
SLONINA Gabriel,Male,United States of America,United States of America,['Football'],['Men'],20,Yes,No,0
RADOSZ Martyna,Female,Poland,Poland,['Rowing'],"[""Lightweight Women's Double Sculls""]",33,No,No,0
BERGMANN Julia Isabelle,Female,Brazil,Brazil,['Volleyball'],['Women'],23,Yes,Yes,1
VARDANYAN Aram,Male,Uzbekistan,Uzbekistan,['Wrestling'],"[""Men's Greco-Roman 77kg""]",29,No,No,0
TORREALBA Leodan,Male,Venezuela,Venezuela,['Athletics'],"[""Men's Triple Jump""]",28,Yes,No,0
BASSITT Trevor,Male,United States of America,United States of America,['Athletics'],"[""Men's 400m Hurdles""]",26,Yes,No,0
INAHO Manelle,Female,France,France,['Rhythmic Gymnastics'],['Group All-Around'],21,Yes,No,0
KARUNARATHNA Tharushi,Female,Sri Lanka,Sri Lanka,['Athletics'],"[""Women's 800m""]",20,Yes,No,0
VERNIAIEV Oleg,Male,Ukraine,Ukraine,['Artistic Gymnastics'],"['Men', ""Men's All-Around"", ""Men's Floor Exercise"", ""Men's Horizontal Bar"", ""Men's Parallel Bars"", ""Men's Pommel Horse"", ""Men's Rings"", ""Men's Vault"", ""Men's Team""]",31,Yes,No,0
YOSHIOKA Miho,Female,Japan,Japan,['Sailing'],['Mixed Dinghy'],34,Yes,Yes,1
KESKINEN Akseli,Male,Finland,Finland,['Sailing'],['Mixed Multihull'],25,Yes,No,0
SAADI Maesha,Female,Comoros,Comoros,['Swimming'],"[""Women's 50m Freestyle""]",17,Yes,No,0
GARDA Krisztina,Female,Hungary,Hungary,['Water Polo'],['Women'],30,Yes,No,0
WIFFEN Daniel,Male,Ireland,Ireland,"['Marathon Swimming', 'Swimming']","[""Men's 10km"", ""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",23,Yes,Yes,2
PONTHIEU Emma,Female,France,France,['Hockey'],['Women'],28,Yes,No,0
GRANDA Andy,Male,Cuba,Cuba,['Judo'],['Men +100 kg'],32,Yes,No,0
MORAN Chloe,Female,Australia,Australia,['Cycling Track'],"[""Women's Keirin"", ""Women's Team Pursuit"", ""Women's Sprint""]",26,No,No,0
MENSIK Jakub,Male,Czechia,Czechia,['Tennis'],"[""Men's Singles""]",19,Yes,No,0
WOLFFHARDT Viktoria,Female,Austria,Austria,['Canoe Slalom'],"[""Women's Canoe Single"", ""Women's Kayak Cross""]",30,No,No,0
BARIL Olivia,Female,Canada,Canada,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",27,No,No,0
BASHIR Ghulam Mustafa,Male,Pakistan,Pakistan,['Shooting'],['25m Rapid Fire Pistol Men'],37,Yes,No,0
AQUINO Mia Lahnee Ramos,Female,Guam,United States of America,['Wrestling'],"[""Women's Freestyle 53kg""]",26,Yes,No,0
HUSEYNOV Rafig,Male,Azerbaijan,Azerbaijan,['Wrestling'],"[""Men's Greco-Roman 87kg""]",36,Yes,No,0
WENNEKES Sara,Female,Netherlands,Netherlands,['Sailing'],"[""Women's Windsurfing""]",28,Yes,No,0
JUERISSON Peeter,Male,Estonia,Estonia,['Shooting'],['Skeet Men'],22,Yes,No,0
WALKER Kristina,Female,Canada,Canada,['Rowing'],"[""Women's Eight""]",28,No,Yes,1
SINGH Sukhjeet,Male,India,India,['Hockey'],['Men'],28,Yes,Yes,1
CARGO Palma,Female,Croatia,Croatia,['Sailing'],"[""Women's Windsurfing""]",24,No,No,0
ARCOS PEREZ Felipe,Male,Uruguay,Uruguay,['Rugby Sevens'],['Men'],24,Yes,No,0
TANG Junyao,Female,People's Republic of China,People's Republic of China,['Fencing'],"[""Women's Ã‰pÃ©e Individual"", ""Women's Ã‰pÃ©e Team""]",21,Yes,No,0
DAYIBEKOVA Zaynab,Female,Uzbekistan,Uzbekistan,['Fencing'],"[""Women's Sabre Individual""]",22,Yes,No,0
BROEDELET Saskia,Female,Australia,Australia,['Rhythmic Gymnastics'],['Group All-Around'],20,Yes,No,0
TRAN Thi Nhi Yen,Female,Vietnam,Vietnam,['Athletics'],"[""Women's 100m""]",19,No,No,0
BELL Joe,Male,New Zealand,New Zealand,['Football'],['Men'],25,Yes,No,0
de VILDER Derck,Male,Netherlands,Netherlands,['Hockey'],['Men'],26,Yes,Yes,1
OSAKUE Daisy,Female,Italy,Italy,['Athletics'],"[""Women's Discus Throw""]",28,Yes,No,0
CURRY Stephen,Male,United States of America,United States of America,['Basketball'],['Men'],36,Yes,Yes,1
KHARKOV Konstantin,Male,Croatia,Croatia,['Water Polo'],['Men'],27,Yes,Yes,1
SULITAN Adilijiang,Male,People's Republic of China,People's Republic of China,['Rowing'],"[""Men's Double Sculls""]",24,No,No,0
MOERZ Charlize,Female,Austria,Austria,['Artistic Gymnastics'],"['Women', ""Women's All-Around"", ""Women's Balance Beam"", ""Women's Floor Exercise"", ""Women's Uneven Bars"", ""Women's Vault""]",19,Yes,No,0
ABAROA Cesar,Male,Chile,Chile,['Rowing'],"[""Lightweight Men's Double Sculls""]",28,No,No,0
FELIX-HOTHAM Jazmin,Female,New Zealand,New Zealand,['Rugby Sevens'],['Women'],24,Yes,Yes,1
BROSSIER Amandine,Female,France,France,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",29,Yes,No,0
AMENE Dubem,Male,Nigeria,Nigeria,['Athletics'],"[""Men's 4 x 400m Relay""]",22,No,No,0
LOYOLA STEIN Andre,Male,Brazil,Brazil,['Beach Volleyball'],['Men'],30,No,No,0
van WESTERING Kai,Male,Netherlands,Netherlands,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Medley Relay"", 'Mixed 4 x 100m Medley Relay']",21,Yes,No,0
STANEK Tomas,Male,Czechia,Czechia,['Athletics'],"[""Men's Shot Put""]",33,Yes,No,0
RESTREPO Marcela,Female,Colombia,Colombia,['Football'],['Women'],29,Yes,No,0
AOKI Reona,Female,Japan,Japan,['Swimming'],"[""Women's 100m Breaststroke""]",29,Yes,No,0
CHAUDHARY Parul,Female,India,India,['Athletics'],"[""Women's 3000m Steeplechase"", ""Women's 5000m""]",29,Yes,No,0
PEETERS Cathelijn,Female,Netherlands,Netherlands,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",28,Yes,Yes,2
KING Olivia,Female,New Zealand,New Zealand,['Cycling Track'],"[""Women's Team Sprint""]",23,No,Yes,1
CECCHINI Elena,Female,Italy,Italy,['Cycling Road'],"[""Women's Road Race""]",32,No,No,0
SEVICK Jessica,Female,Canada,Canada,['Rowing'],"[""Women's Eight""]",35,Yes,Yes,1
SMARZEK Malwina,Female,Poland,Poland,['Volleyball'],['Women'],28,Yes,No,0
KLOSTER Line,Female,Norway,Norway,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay""]",34,Yes,No,0
SZATMARI Andras,Male,Hungary,Hungary,['Fencing'],"[""Men's Sabre Individual"", ""Men's Sabre Team""]",31,No,Yes,1
HOFFMAN Lauren,Female,Philippines,Philippines,['Athletics'],"[""Women's 400m Hurdles""]",25,No,No,0
YAN Meiling,Female,People's Republic of China,People's Republic of China,['Rugby Sevens'],['Women'],27,Yes,No,0
de LANGE Nicolaas Johannes,Male,South Africa,South Africa,['Wrestling'],"[""Men's Freestyle 97kg""]",23,Yes,No,0
TROIANI Virginia,Female,Italy,Italy,['Athletics'],"[""Women's 4 x 400m Relay""]",28,No,No,0
SEN Lakshya,Male,India,India,['Badminton'],"[""Men's Singles""]",23,No,No,0
SCHOONHEERE Lucie,Female,France,France,['Skateboarding'],"[""Women's Street""]",14,No,No,0
ANDERSSON Lasse,Male,Denmark,Denmark,['Handball'],['Men'],30,Yes,Yes,1
LACAN Leila,Female,France,France,['Basketball'],['Women'],20,Yes,Yes,1
KORKHIN Ada Claudia,Female,United States of America,United States of America,['Shooting'],['25m Pistol Women'],20,Yes,No,0
GENIDOUNIAS Konstantinos,Male,Greece,Greece,['Water Polo'],['Men'],31,Yes,No,0
PAOLINI Jasmine,Female,Italy,Italy,['Tennis'],"[""Women's Doubles"", ""Women's Singles""]",28,Yes,Yes,1
TURRIENTES Benat,Male,Spain,Spain,['Football'],['Men'],22,Yes,Yes,1
HUNT Amy,Female,Great Britain,Great Britain,['Athletics'],"[""Women's 4 x 100m Relay""]",22,No,Yes,1
TANAKA Toshiyuki,Male,Japan,Japan,['Equestrian'],"['Eventing Individual', 'Eventing Team']",39,Yes,Yes,1
KELETELA Dorian,Male,Refugee Olympic Team,Democratic Republic of the Congo,['Athletics'],"[""Men's 100m""]",25,Yes,No,0
TURNBULL Hamish,Male,Great Britain,Great Britain,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint"", ""Men's Team Sprint""]",25,Yes,Yes,1
LOWE Ed,Male,Great Britain,Great Britain,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint"", ""Men's Team Sprint""]",21,No,Yes,1
JANSEN Ella,Female,Canada,Canada,['Swimming'],"[""Women's 400m Individual Medley"", ""Women's 4 x 200m Freestyle Relay""]",19,Yes,No,0
TERAKADO Genki,Male,Japan,Japan,['Swimming'],"[""Men's 200m Butterfly""]",21,Yes,No,0
HUDSON-SMITH Matthew,Male,Great Britain,Great Britain,['Athletics'],"[""Men's 400m"", ""Men's 4 x 400m Relay""]",30,Yes,Yes,2
KUSHARE Sarvesh Anil,Male,India,India,['Athletics'],"[""Men's High Jump""]",29,Yes,No,0
SAIDY Fabrisio,Male,France,France,['Athletics'],"[""Men's 4 x 400m Relay"", '4 x 400m Relay Mixed']",25,Yes,No,0
FORD Jameesia,Female,United States of America,United States of America,['Athletics'],"[""Women's 4 x 400m Relay""]",19,No,No,0
WEINBERG Adrian,Male,United States of America,United States of America,['Water Polo'],['Men'],23,Yes,Yes,1
ROLLIN Meline,Female,France,France,['Athletics'],"[""Women's Marathon""]",26,Yes,No,0
GAFINOVITZ Rotem,Female,Israel,Israel,['Cycling Road'],"[""Women's Road Race""]",32,No,No,0
LILIK Elena,Female,Germany,Germany,['Canoe Slalom'],"[""Women's Canoe Single"", ""Women's Kayak Cross""]",26,Yes,Yes,1
CASTAGNA Nina,Female,United States of America,United States of America,['Rowing'],"[""Women's Eight""]",24,Yes,No,0
GOVORCINOVIC Anamaria,Female,Croatia,Croatia,['Canoe Sprint'],"[""Women's Kayak Single 500m""]",27,Yes,No,0
RUZIEV Doston,Male,Uzbekistan,Uzbekistan,['Judo'],"['Men -60 kg', 'Mixed Team']",28,No,No,0
SCHOPF Jacob,Male,Germany,Germany,['Canoe Sprint'],"[""Men's Kayak Double 500m"", ""Men's Kayak Four 500m""]",25,Yes,Yes,2
KODRIN Tilen,Male,Slovenia,Slovenia,['Handball'],['Men'],30,Yes,No,0
van den BROECK Naomi,Female,Belgium,Belgium,['Athletics'],"[""Women's 400m Hurdles"", ""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",28,Yes,No,0
YOUSOFI Kimia,Female,Afghanistan,Afghanistan,['Athletics'],"[""Women's 100m""]",28,Yes,No,0
MA Ning,Female,People's Republic of China,People's Republic of China,['Hockey'],['Women'],24,Yes,Yes,1
ELMAMOUNY,Female,Morocco,Morocco,['Breaking'],['B-Girls'],25,Yes,No,0
ROMERO Leticia,Female,Spain,Spain,['Basketball'],['Women'],29,Yes,No,0
SIMONET Diego,Male,Argentina,Argentina,['Handball'],['Men'],35,Yes,No,0
JONES Will,Male,Canada,Canada,['Sailing'],"[""Men's Skiff""]",29,Yes,No,0
GRENGBO Florian,Male,France,France,['Cycling Track'],"[""Men's Team Sprint""]",24,Yes,No,0
MONTES de OCA Angel,Male,Dominican Republic,Dominican Republic,['Football'],['Men'],21,Yes,No,0
KIM Sunwoo,Female,Republic of Korea,Republic of Korea,['Modern Pentathlon'],"[""Women's Individual""]",28,No,No,0
MENNO,Male,Netherlands,Netherlands,['Breaking'],['B-Boys'],35,No,No,0
KARRAR MOHAMMED,Male,Iraq,Iraq,['Football'],['Men'],23,Yes,No,0
MARLEY Jack,Male,Ireland,Ireland,['Boxing'],"[""Men's 92kg""]",22,Yes,No,0
YAKOVLEV Vladislav,Male,Kazakhstan,Kazakhstan,['Rowing'],"[""Men's Single Sculls""]",31,No,No,0
QUINN,Female,Canada,Canada,['Football'],['Women'],29,Yes,No,0
SATO Tomoka,Female,Japan,Japan,['Artistic Swimming'],"['Team', 'Duet']",23,Yes,No,0
IZQUIERDO Ilana,Female,Colombia,Colombia,['Football'],['Women'],22,Yes,No,0
ANSAH Owen,Male,Germany,Germany,['Athletics'],"[""Men's 100m"", ""Men's 4 x 100m Relay""]",24,Yes,No,0
SATO Kentaro,Male,Japan,Japan,['Athletics'],"[""Men's 400m"", ""Men's 4 x 400m Relay""]",30,Yes,No,0
NAIMASI Ana Maria,Female,Fiji,Fiji,['Rugby Sevens'],['Women'],30,Yes,No,0
LV Yixiao,Female,People's Republic of China,People's Republic of China,['Sailing'],['Mixed Dinghy'],30,No,No,0
GOLUBIC Viktorija,Female,Switzerland,Switzerland,['Tennis'],"[""Women's Singles""]",32,No,No,0
STREHLKE DELGADO Paulo,Male,Mexico,Mexico,['Marathon Swimming'],"[""Men's 10km""]",18,Yes,No,0
ALDRIDGE Charlie,Male,Great Britain,Great Britain,['Cycling Mountain Bike'],"[""Men's Cross-country""]",23,Yes,No,0
CESARINI Giorgia,Female,San Marino,San Marino,['Archery'],"[""Women's Individual""]",22,No,No,0
McVEIGH Jack,Male,Australia,Australia,['Basketball'],['Men'],28,Yes,No,0
BOLING Matthew,Male,United States of America,United States of America,['Athletics'],"[""Men's 4 x 400m Relay""]",24,No,No,0
HEDGCOCK James,Male,Canada,Canada,['Cycling Track'],"[""Men's Keirin"", ""Men's Sprint"", ""Men's Team Sprint""]",23,Yes,No,0
WAGNER EHLINGER Nicolas,Male,Luxembourg,Luxembourg,['Equestrian'],['Dressage Individual'],32,No,No,0
DILYTE Gabija,Female,Lithuania,Lithuania,['Wrestling'],"[""Women's Freestyle 50kg""]",21,No,No,0
KOS Hubert,Male,Hungary,Hungary,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 100m Butterfly"", ""Men's 200m Backstroke"", ""Men's 4 x 100m Freestyle Relay""]",21,Yes,Yes,1
AARTS Laura,Female,Netherlands,Netherlands,['Water Polo'],['Women'],28,Yes,Yes,1
SENN Giulia,Female,Switzerland,Switzerland,['Athletics'],"[""Women's 4 x 400m Relay"", '4 x 400m Relay Mixed']",23,Yes,No,0
STEENBERGEN Marrit,Female,Netherlands,Netherlands,['Swimming'],"[""Women's 100m Freestyle"", ""Women's 200m Individual Medley"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 4 x 200m Freestyle Relay"", 'Mixed 4 x 100m Medley Relay']",24,Yes,No,0
BARBELIN Lisa,Female,France,France,['Archery'],"[""Women's Individual"", ""Women's Team"", 'Mixed Team']",24,Yes,Yes,1
GILGEOUS-ALEXANDER Shai,Male,Canada,Canada,['Basketball'],['Men'],26,Yes,No,0
YAMADA Fuki,Male,Japan,Japan,['Football'],['Men'],23,Yes,No,0
RAKHIMOV Temur,Male,Tajikistan,Tajikistan,['Judo'],['Men +100 kg'],27,Yes,Yes,1
CREMEN Margaret,Female,Ireland,Ireland,['Rowing'],"[""Lightweight Women's Double Sculls""]",25,No,No,0
RYU Eun Hee,Female,Republic of Korea,Republic of Korea,['Handball'],['Women'],34,Yes,No,0
AMIT Amit,Male,India,India,['Boxing'],"[""Men's 51kg""]",29,Yes,No,0
BOTIN le CHEVER Diego,Male,Spain,Spain,['Sailing'],"[""Men's Skiff""]",31,Yes,Yes,1
STEYN Gerda,Female,South Africa,South Africa,['Athletics'],"[""Women's Marathon""]",34,Yes,No,0
BAKIR Muhammet Hamza,Male,TÃ¼rkiye,TÃ¼rkiye,['Wrestling'],"[""Men's Greco-Roman 130kg""]",23,No,No,0
PLAK Celeste,Female,Netherlands,Netherlands,['Volleyball'],['Women'],29,Yes,No,0
DRAGAN Annaliese,Female,Romania,Romania,['Rhythmic Gymnastics'],['Individual All-Around'],19,No,No,0
SHAW Jaedyn,Female,United States of America,United States of America,['Football'],['Women'],20,Yes,Yes,1
RI Se Ung,Male,Democratic People's Republic of Korea,Democratic People's Republic of Korea,['Wrestling'],"[""Men's Greco-Roman 60kg""]",26,No,Yes,1
PAPASTAMOS Apostolos,Male,Greece,Greece,['Swimming'],"[""Men's 200m Individual Medley"", ""Men's 400m Individual Medley""]",23,Yes,No,0
SHUBINA Ekaterina,Female,Uzbekistan,Uzbekistan,['Canoe Sprint'],"[""Women's Kayak Single 500m""]",36,Yes,No,0
MOODY Becky,Female,Great Britain,Great Britain,['Equestrian'],['Dressage Team'],44,Yes,Yes,1
ALIPOUR SHENAZANDIFARD Reza,Male,Islamic Republic of Iran,Islamic Republic of Iran,['Sport Climbing'],"[""Men's Speed""]",30,No,No,0
OH Sanguk,Male,Republic of Korea,Republic of Korea,['Fencing'],"[""Men's Sabre Individual"", ""Men's Sabre Team""]",28,Yes,Yes,2
MANUCHARYAN Varsenik,Female,Armenia,Armenia,['Swimming'],"[""Women's 100m Butterfly""]",21,Yes,No,0
LANE Emily,Female,Ireland,Ireland,['Rugby Sevens'],['Women'],25,Yes,No,0
MOOLMAN PASIO Ashleigh,Female,South Africa,South Africa,['Cycling Road'],"[""Women's Road Race""]",39,No,No,0
MEGLI Filippo,Male,Italy,Italy,['Swimming'],"[""Men's 200m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",27,Yes,No,0
GERNIERS Alix,Female,Belgium,Belgium,['Hockey'],['Women'],31,Yes,No,0
MOERKOEV Michael,Male,Denmark,Denmark,"['Cycling Road', 'Cycling Track']","[""Men's Road Race"", ""Men's Madison"", ""Men's Team Pursuit""]",39,Yes,Yes,1
